Family,Genus,Species,Temp,Limit,Base,Temperature
Hydrophinnae,Aipysurus,Aip_fus,25.563492,Upper,B_Bme,Min
Hydrophinnae,Aipysurus,Aip_fus,15.98025,Lower,B_Bmi,Min
Hydrophinnae,Aipysurus,Aip_fus,25.654135,Upper,B_Bmi,Min
Hydrophinnae,Aipysurus,Aip_fus,18.988016,Lower,B_Surf,Min
Hydrophinnae,Aipysurus,Aip_fus,25.946606,Upper,B_Surf,Min
Hydrophinnae,Aipysurus,Aip_lae,1.488688,Lower,B_Bma,Max
Hydrophinnae,Aipysurus,Aip_lae,31.778742,Upper,B_Bma,Max
Hydrophinnae,Aipysurus,Aip_lae,1.54193,Lower,B_Bme,Max
Hydrophinnae,Aipysurus,Aip_lae,31.740413,Upper,B_Bme,Max
Hydrophinnae,Aipysurus,Aip_lae,1.54193,Lower,B_Bmi,Max
Hydrophinnae,Aipysurus,Aip_lae,31.721164,Upper,B_Bmi,Max
Hydrophinnae,Aipysurus,Aip_lae,23.679993,Lower,B_Surf,Max
Hydrophinnae,Aipysurus,Aip_lae,31.719994,Upper,B_Surf,Max
Hydrophinnae,Aipysurus,Aip_lae,21.82,Lower,M_Surf,Max
Hydrophinnae,Aipysurus,Aip_lae,31.41,Upper,M_Surf,Max
Hydrophinnae,Aipysurus,Aip_lae,1.48277998,Lower,B_Bma,Mean
Hydrophinnae,Aipysurus,Aip_lae,28.47215462,Upper,B_Bma,Mean
Hydrophinnae,Aipysurus,Aip_lae,1.501294017,Lower,B_Bme,Mean
Hydrophinnae,Aipysurus,Aip_lae,28.50076103,Upper,B_Bme,Mean
Hydrophinnae,Aipysurus,Aip_lae,1.532371044,Lower,B_Bmi,Mean
Hydrophinnae,Aipysurus,Aip_lae,28.51997566,Upper,B_Bmi,Mean
Hydrophinnae,Aipysurus,Aip_lae,19.91010666,Lower,B_Surf,Mean
Hydrophinnae,Aipysurus,Aip_lae,28.77243233,Upper,B_Surf,Mean
Hydrophinnae,Aipysurus,Aip_lae,19.06,Lower,M_Surf,Mean
Hydrophinnae,Aipysurus,Aip_lae,28.52,Upper,M_Surf,Mean
Hydrophinnae,Aipysurus,Aip_lae,15.77,Lower,M_Surf,Min
Hydrophinnae,Aipysurus,Aip_lae,26.47,Upper,M_Surf,Min
Hydrophinnae,Aipysurus,Aip_lae,1.477313,Lower,B_Bma,Min
Hydrophinnae,Aipysurus,Aip_lae,25.374667,Upper,B_Bma,Min
Hydrophinnae,Aipysurus,Aip_lae,1.520162,Lower,B_Bme,Min
Hydrophinnae,Aipysurus,Aip_lae,25.563492,Upper,B_Bme,Min
Hydrophinnae,Aipysurus,Aip_lae,1.520162,Lower,B_Bmi,Min
Hydrophinnae,Aipysurus,Aip_lae,25.712493,Upper,B_Bmi,Min
Hydrophinnae,Aipysurus,Aip_lae,15.729994,Lower,B_Surf,Min
Hydrophinnae,Aipysurus,Aip_lae,25.946606,Upper,B_Surf,Min
Hydrophinnae,Aipysurus,Aip_mos,1.961156,Lower,B_Bma,Max
Hydrophinnae,Aipysurus,Aip_mos,31.653776,Upper,B_Bma,Max
Hydrophinnae,Aipysurus,Aip_mos,2.096825,Lower,B_Bme,Max
Hydrophinnae,Aipysurus,Aip_mos,31.418772,Upper,B_Bme,Max
Hydrophinnae,Aipysurus,Aip_mos,2.098197,Lower,B_Bmi,Max
Hydrophinnae,Aipysurus,Aip_mos,31.418772,Upper,B_Bmi,Max
Hydrophinnae,Aipysurus,Aip_mos,27.052269,Lower,B_Surf,Max
Hydrophinnae,Aipysurus,Aip_mos,31.661812,Upper,B_Surf,Max
Hydrophinnae,Aipysurus,Aip_mos,25.11,Lower,M_Surf,Max
Hydrophinnae,Aipysurus,Aip_mos,30.56,Upper,M_Surf,Max
Hydrophinnae,Aipysurus,Aip_mos,1.916198015,Lower,B_Bma,Mean
Hydrophinnae,Aipysurus,Aip_mos,27.96865082,Upper,B_Bma,Mean
Hydrophinnae,Aipysurus,Aip_mos,2.041192055,Lower,B_Bme,Mean
Hydrophinnae,Aipysurus,Aip_mos,27.97025299,Upper,B_Bme,Mean
Hydrophinnae,Aipysurus,Aip_mos,2.042792082,Lower,B_Bmi,Mean
Hydrophinnae,Aipysurus,Aip_mos,27.92505264,Upper,B_Bmi,Mean
Hydrophinnae,Aipysurus,Aip_mos,22.91228676,Lower,B_Surf,Mean
Hydrophinnae,Aipysurus,Aip_mos,28.05387878,Upper,B_Surf,Mean
Hydrophinnae,Aipysurus,Aip_mos,22.08,Lower,M_Surf,Mean
Hydrophinnae,Aipysurus,Aip_mos,27.86,Upper,M_Surf,Mean
Hydrophinnae,Aipysurus,Aip_mos,16.95,Lower,M_Surf,Min
Hydrophinnae,Aipysurus,Aip_mos,25.37,Upper,M_Surf,Min
Hydrophinnae,Aipysurus,Aip_mos,1.871232,Lower,B_Bma,Min
Hydrophinnae,Aipysurus,Aip_mos,25.114361,Upper,B_Bma,Min
Hydrophinnae,Aipysurus,Aip_mos,1.991831,Lower,B_Bme,Min
Hydrophinnae,Aipysurus,Aip_mos,24.977623,Upper,B_Bme,Min
Hydrophinnae,Aipysurus,Aip_mos,1.993462,Lower,B_Bmi,Min
Hydrophinnae,Aipysurus,Aip_mos,24.839858,Upper,B_Bmi,Min
Hydrophinnae,Aipysurus,Aip_mos,18.315948,Lower,B_Surf,Min
Hydrophinnae,Aipysurus,Aip_mos,24.913727,Upper,B_Surf,Min
Hydrophinnae,Aipysurus,Aip_poo,27.932918,Lower,B_Bma,Max
Hydrophinnae,Aipysurus,Aip_poo,28.345864,Upper,B_Bma,Max
Hydrophinnae,Aipysurus,Aip_poo,27.961638,Lower,B_Bme,Max
Hydrophinnae,Aipysurus,Aip_poo,28.416103,Upper,B_Bme,Max
Hydrophinnae,Aipysurus,Aip_poo,28.019795,Lower,B_Bmi,Max
Hydrophinnae,Aipysurus,Aip_poo,28.416021,Upper,B_Bmi,Max
Hydrophinnae,Aipysurus,Aip_poo,27.892845,Lower,B_Surf,Max
Hydrophinnae,Aipysurus,Aip_poo,29.099907,Upper,B_Surf,Max
Hydrophinnae,Aipysurus,Aip_poo,24.71,Lower,M_Surf,Max
Hydrophinnae,Aipysurus,Aip_poo,26.03,Upper,M_Surf,Max
Hydrophinnae,Aipysurus,Aip_poo,22.51532173,Lower,B_Bma,Mean
Hydrophinnae,Aipysurus,Aip_poo,24.08509445,Upper,B_Bma,Mean
Hydrophinnae,Aipysurus,Aip_poo,22.47943687,Lower,B_Bme,Mean
Hydrophinnae,Aipysurus,Aip_poo,24.13153076,Upper,B_Bme,Mean
Hydrophinnae,Aipysurus,Aip_poo,22.48110962,Lower,B_Bmi,Mean
Hydrophinnae,Aipysurus,Aip_poo,24.15253067,Upper,B_Bmi,Mean
Hydrophinnae,Aipysurus,Aip_poo,22.70126152,Lower,B_Surf,Mean
Hydrophinnae,Aipysurus,Aip_poo,23.72460747,Upper,B_Surf,Mean
Hydrophinnae,Aipysurus,Aip_poo,21.81,Lower,M_Surf,Mean
